product_id,product_name,category_code,price,created_at,_loaded_at
1,Vitamin D3 5000 IU,SUPPLEMENTS,24.99,2023-11-01 08:00:00,2024-01-01 00:00:00
2,Omega-3 Fish Oil,SUPPLEMENTS,29.99,2023-11-01 08:00:00,2024-01-01 00:00:00
3,Finasteride 1mg (30 tabs),PRESCRIPTION,39.99,2023-11-01 08:00:00,2024-01-01 00:00:00
4,Sildenafil 50mg (4 tabs),PRESCRIPTION,49.99,2023-11-01 08:00:00,2024-01-01 00:00:00
5,Tretinoin 0.025% Cream,PRESCRIPTION,34.99,2023-11-01 08:00:00,2024-01-01 00:00:00
6,Melatonin 5mg,SUPPLEMENTS,16.99,2023-11-15 08:00:00,2024-01-01 00:00:00
7,Biotin 10mg,SUPPLEMENTS,19.99,2023-11-15 08:00:00,2024-01-01 00:00:00
8,Hair Growth Shampoo,OTC,22.99,2023-12-01 08:00:00,2024-01-01 00:00:00
9,SPF 50 Face Cream,OTC,18.99,2023-12-01 08:00:00,2024-01-01 00:00:00
10,Zinc 25mg,SUPPLEMENTS,12.99,2023-12-01 08:00:00,2024-01-01 00:00:00
